epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.201481968402862,4.775705672740936,5.53,18.05,1e-05
1,5.080792840862274,4.577229241847992,7.82,24.15,1.0099000000000001e-05
2,5.033253154563904,4.475383837938309,8.65,26.44,1.0198000000000001e-05
3,4.992499820804596,4.396060690879822,10.12,27.29,1.0297000000000002e-05
4,4.9606886469841,4.3074322099685665,11.28,30.65,1.0396e-05
5,4.92951083240509,4.223343441486358,13.81,33.41,1.0495e-05
6,4.91255653553009,4.132304851531982,15.22,37.0,1.0594e-05
7,4.878960932445526,4.046933985233307,15.63,37.86,1.0693e-05
8,4.847572282600403,3.9628941519260406,17.69,39.83,1.0792000000000001e-05
9,4.822905514907837,3.8908275566101076,18.57,41.78,1.0891000000000001e-05
10,4.793709364843369,3.8127681307792662,19.83,44.23,1.0990000000000002e-05
11,4.773410155963898,3.75935600066185,20.35,44.57,1.1089000000000002e-05
12,4.741879048728943,3.6892155027389526,22.04,47.12,1.1188e-05
13,4.714776373767853,3.6167071793079377,22.74,48.43,1.1287e-05
14,4.6989670191287995,3.5678328533172605,23.67,49.84,1.1386e-05
15,4.6776246923923495,3.504823135852814,24.48,50.52,1.1485000000000001e-05
16,4.651161239385605,3.458262110233307,25.69,51.59,1.1584000000000001e-05
17,4.6328370442867275,3.376017552852631,27.01,53.51,1.1683000000000001e-05
18,4.6146866589546205,3.351390219926834,28.03,54.65,1.1782e-05
19,4.590830894660949,3.291130270600319,29.16,55.26,1.1881e-05
20,4.570553993463516,3.2823669246435165,28.91,55.76,1.198e-05
21,4.5521621622562405,3.192942566394806,30.76,57.62,1.2079e-05
22,4.530629197311401,3.1797880185842513,30.61,57.4,1.2178000000000001e-05
23,4.52502717461586,3.1211112867593767,32.46,59.08,1.2277000000000001e-05
24,4.506778787851333,3.100292611837387,32.36,58.8,1.2376000000000001e-05
25,4.507505668354034,3.0735161777734756,33.04,60.23,1.2475000000000002e-05
26,4.4780782049179075,3.0092727038860323,34.07,61.09,1.2574e-05
27,4.4628433274745944,3.012869459629059,34.41,61.35,1.2673e-05
28,4.451169647693634,2.967060666680336,35.1,62.22,1.2772e-05
